Map,Agents,Lambda,Algorithm,Samples,AvgServiceTime,AvgServiceTime_std,AvgPathLength,AvgPathLength_std,PeakMemory_MB,PeakMemory_MB_std,NPC,NPC_std,NPC_min,NPC_max,PerStepTime,PerStepTime_std
paris,200,0.5,Baseline,20,187.1305,0.8053601678752215,190.764899277129,0.8815170587765797,119.208203125,4.011570929155351,1.0097449999999997,0.01724,1.0023,1.3333,10.20969370454332,0.4348320131354472
paris,200,0.5,Full,20,180.2315,0.5507341989514871,178.7095506995821,0.5788900889928997,112.4353515625,4.125444544637514,1.020965,0.025345,1.0,1.3333,16.814757998160598,0.5213337487591136
paris,200,0.5,w/o_LNS,20,187.14050000000003,0.8069336045210087,190.7930474932667,0.8946830027081031,116.5279296875,4.465723190191939,1.0097449999999997,0.01724,1.0023,1.3333,9.708262267254712,0.3313449038563918
paris,200,0.5,w/o_PrePlan,20,180.2315,0.5507341989514871,178.7095506995821,0.5788900889928997,111.107421875,3.554829265355586,1.020965,0.025345,1.0,1.3333,17.20366995357454,0.6006168962093992
paris,400,0.5,Baseline,20,176.9345,0.3965041315242356,188.7915072686369,0.7399460719247845,116.5939453125,4.493591112774163,1.0097399999999996,0.0172,1.0023,1.3333,23.60582536312695,0.4204282905867005
paris,400,0.5,Full,20,175.95199999999997,0.2330936111928999,186.14168700154968,0.5889826250841366,110.55390625,6.082931206762136,1.015685,0.0188,1.0,1.3333,30.42870570205487,0.6212883014910409
paris,400,0.5,w/o_LNS,20,176.9345,0.3985826863961049,188.80966098818192,0.7414371125736081,115.9599609375,4.918675513932221,1.0097399999999996,0.0172,1.0023,1.3333,23.58679604959249,0.3845134476423166
paris,400,0.5,w/o_PrePlan,20,175.95199999999997,0.2330936111928999,186.14168700154968,0.5889826250841366,113.6359375,5.358040672999378,1.015685,0.0188,1.0,1.3333,30.43048389285209,0.6120579045394839
paris,600,0.5,Baseline,20,174.3105,0.2309129478259813,192.64587501049056,0.6364394910768352,121.6572265625,3.489186929111477,1.0097399999999996,0.017235,1.0023,1.3333,77.22570087786589,1.929664401882992
paris,600,0.5,Full,20,173.89550000000003,0.1674412701437995,191.5086357024313,0.9163910620873644,120.948828125,4.236190023432362,1.011815,0.017685,1.0,1.3333,84.14271319249606,1.857603081714249
