Map,Agents,Lambda,Algorithm,Samples,AvgServiceTime,AvgServiceTime_std,AvgPathLength,AvgPathLength_std,PeakMemory_MB,PeakMemory_MB_std,NPC,NPC_std,NPC_min,NPC_max,PerStepTime,PerStepTime_std
empty,10,0.5,Baseline,20,473.47,15.688614040963456,40.539474334845565,0.2869547186934728,8.0078125,1.64652565142664,1.0480550000000002,0.04628,1.0125,1.5,0.5041606245525077,0.0989442602283084
empty,10,0.5,Full,20,426.3755,30.122003231594853,36.97224115691776,0.2723055864035402,8.4203125,0.3859930974230286,1.03225,0.044365,1.0,1.5,0.45605429360948,0.0226090092816432
empty,10,0.5,w/o_HashSIPP,20,460.847,27.000287932187916,38.00192562261618,0.3494227876119109,8.7681640625,0.3610610899813204,1.05233,0.0609349999999999,1.0,2.0,0.6019237291538111,0.0551517159226693
empty,10,0.5,w/o_LNS,19,495.0368421052632,22.99262322587438,41.081044126702565,0.3233335232915186,9.21875,1.5736322185869862,1.0485157894736843,0.0460999999999999,1.0125,1.5,0.3589403357343741,0.0502561190779193
empty,10,0.5,w/o_PrePlan,20,416.628,19.62036847124356,36.9166548132958,0.2628334168244092,7.9736328125,1.6081838590516595,1.0312,0.0428049999999999,1.0,1.5,0.5392484140016246,0.0809395580465982
empty,20,0.5,Baseline,20,121.021,12.11726775699608,45.26897027431223,0.6561982640955262,9.1087890625,0.6914721931365462,1.048625,0.04709,1.0125,1.5,0.3601545628235869,0.0396877946354341
empty,20,0.5,Full,20,86.9795,16.7989409048998,38.01059423071237,0.4543776550287806,8.746875,0.3381881272244181,1.0314200000000002,0.0502599999999999,1.0,1.5,0.5908907247176989,0.0224300532450553
empty,20,0.5,w/o_HashSIPP,20,99.684,19.001318624602984,39.63463758567521,0.5687252579944665,10.9826171875,2.3080214216064068,1.04723,0.06602,1.0,2.0,1.3458508447398772,0.0442215713233353
empty,20,0.5,w/o_LNS,20,144.7815,14.77548726598783,45.31842630471953,0.6588853721815865,9.1740234375,0.282984971558165,1.04964,0.04685,1.0125,1.5,0.3490598120102807,0.0131422076871151
empty,20,0.5,w/o_PrePlan,20,73.863,15.562344600788284,38.05803630061902,0.4733010144132362,8.065625,0.369632467430309,1.0294749999999997,0.048385,1.0,1.5,0.5755493681120324,0.0144564654484898
empty,30,0.5,Baseline,20,49.265,3.809475029449596,47.189400661404406,1.325765581778294,9.924609375,1.62092114252284,1.04861,0.047,1.0125,1.5,0.4864207612441384,0.037775084507383
empty,30,0.5,Full,20,38.515,0.6491978856533982,37.42439279836618,0.4350992949830755,9.1056640625,0.3617059946277508,1.0390549999999998,0.05434,1.0,1.5,0.631163679956551,0.0527851535458177
empty,30,0.5,w/o_HashSIPP,20,39.3365,0.8537241943391315,37.90250035773059,0.5042776643555831,9.616796875,0.8420396628677989,1.042605,0.05903,1.0,2.0,1.58862401527456,0.164135188673485
empty,30,0.5,w/o_LNS,20,48.9135,2.939826838795996,46.886444378653245,1.1241631702869557,11.5138671875,2.8065476563412304,1.0487049999999998,0.04723,1.0125,1.5,0.4650406779812066,0.028918035180872
empty,30,0.5,w/o_PrePlan,20,38.515,0.6491978856533982,37.42439279836618,0.4350992949830755,9.1845703125,1.1847957347437237,1.0390549999999998,0.05434,1.0,1.5,0.6522814100678065,0.0550793325675107
empty,40,0.5,Baseline,20,40.8235,0.4143133190180947,41.48858866736818,0.3450921098536412,9.5390625,0.3558740550116398,1.048605,0.047255,1.0125,1.6667,0.4458796720564952,0.0288611057019363
empty,40,0.5,Full,20,37.5825,0.2785276136740261,37.37850112041324,0.2634497999260562,9.1072265625,0.4695416748749649,1.04538,0.053395,1.0,1.5,0.6256084012638484,0.0511312027358722
empty,40,0.5,w/o_HashSIPP,20,37.982,0.3010088300855533,37.6163899063292,0.2905068613564812,9.85703125,0.4270034290892139,1.0476,0.055595,1.0,1.6667,1.5477889572179175,0.1460499931911598
empty,40,0.5,w/o_LNS,20,40.9165,0.4379050005123081,41.59459055166013,0.3961948392305635,10.2306640625,1.4233328692940412,1.0485000000000002,0.04699,1.0125,1.5,0.4135110206199919,0.0315648959272098
empty,40,0.5,w/o_PrePlan,20,37.5825,0.2785276136740261,37.37850112041324,0.2634497999260562,9.7201171875,1.339155334092207,1.04538,0.053395,1.0,1.5,0.6595464280491848,0.0586374060118263
empty,50,0.5,Baseline,20,39.331,0.3344107150134238,40.335594165299696,0.3132465219874348,9.4078125,0.4529519860258224,1.04848,0.04697,1.0125,1.5,0.4375188457853398,0.0294205623370304
empty,50,0.5,Full,20,37.079,0.1926518539804512,37.38050208879393,0.1673345986035178,9.132421875,0.267801706796727,1.0470300000000003,0.05218,1.0,1.5,0.6230928653165985,0.0457848114296576
empty,50,0.5,w/o_HashSIPP,20,37.2455,0.2389334855693441,37.3908005412774,0.2427493325259345,10.1625,1.2701016557640206,1.04818,0.0531249999999999,1.0,1.5,1.4750941290761168,0.1058214774522227
empty,50,0.5,w/o_LNS,20,39.331,0.3376217129460599,40.32979735216022,0.3068445071593871,9.3564453125,0.452306988708828,1.04848,0.046835,1.0125,1.5,0.4312962730696447,0.0320977332211351
empty,50,0.5,w/o_PrePlan,20,37.079,0.1926518539804512,37.38050208879393,0.1673345986035178,9.8380859375,1.5642817118541743,1.0470300000000003,0.05218,1.0,1.5,0.6852468421356176,0.0410270253579814
empty,10,1.0,Baseline,20,600.963,8.777079660594461,38.91977455988575,0.2264718848026418,8.1482421875,0.7223516594492086,1.048145,0.04629,1.0125,1.5,1.9063442803268529,0.2139579492629914
empty,10,1.0,Full,20,578.2355,12.916577465453162,36.12455017264579,0.1785538146352326,9.7939453125,0.8784514311133792,1.0354,0.044625,1.0,1.5,0.9624190340713152,0.0795403936027127
